date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:20	164766/164766	---MCZ	200	added ('OK')	text/html	etag:W/%2227193-q4P7ccCqt+CPr8dCtYQw/aScPJo%22	https://elcomercio.pe/politica/congresista-vivian-olivos-pide-a-la-contraloria-revisar-designacion-en-el-minsa-de-abogado-cercano-a-vladimir-cerron-rmmn-noticia/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/politica/congresista-vivian-olivos-pide-a-la-contraloria-revisar-designacion-en-el-minsa-de-abogado-cercano-a-vladimir-cerron-rmmn-noticia/index.html	(from https://elcomercio.pe/politica/anibal-torres-congresistas-demandan-la-salida-del-jefe-de-gabinete-tras-ataque-misogino-a-sol-carreno-pedro-castillo-noticia/)
20:28:20	3067/3067	---M--	200	added ('OK')	image/png	etag:%22103016af67366d4e74eb0b639ae3f4b2a5e86898%22	https://elcomercio.pe/resizer/KLRUWOHA_gyxemoAAxoSJKT2buc=/0x47/smart/filters:format(png):quality(75)/cde.3.elcomercio.pe/img/0/1/7/1/5/1715869.png	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/resizer/KLRUWOHA_gyxemoAAxoSJKT2buc=/0x47/smart/filters_format(png)_quality(75)/cde.3.elcomercio.pe/img/0/1/7/1/5/1715869.png	(from https://elcomercio.pe/deporte-total/futbol-peruano/alianza-lima-vs-melgar-en-vivo-en-arequipa-por-final-ida-liga-1-2022-via-golperu-goltv-star-plus-y-movistar-play-cuando-juegan-hora-canales-de-transmision-apuestas-alineaciones-y-donde-ver-minuto-a-minuto-resultado-futbol-libre-tv-video-rmmd-dtbn-lbposting-noticia/)
20:28:20	236358/236358	---M-Z	200	added ('OK')	text/html	etag:W/%2239b46-qdkCUFCuwozKKjza1gZ7QbwqYr8%22	https://elcomercio.pe/economia/cade-ejecutivos-2022-en-vivo-hoy-sigue-el-foro-empresarial-en-directo-desde-paracas-agenda-del-dia-pedro-castillo-economia-peru-lbposting-noticia/?outputType=amp	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/economia/cade-ejecutivos-2022-en-vivo-hoy-sigue-el-foro-empresarial-en-directo-desde-paracas-agenda-del-dia-pedro-castillo-economia-peru-lbposting-noticia/index3f62.html	(from https://elcomercio.pe/economia/cade-ejecutivos-2022-en-vivo-hoy-sigue-el-foro-empresarial-en-directo-desde-paracas-agenda-del-dia-pedro-castillo-economia-peru-lbposting-noticia/)
20:28:21	103087/103087	---M-Z	200	added ('OK')	text/html	etag:W/%22180a3-8O2pyms4hMf8s+kVi/wANek/Tns%22	https://elcomercio.pe/suscripciones/?ref=btn-suscribete-elcomercio&loc=economia	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/suscripciones/index70b1.html	(from https://elcomercio.pe/economia/cade-ejecutivos-2022-en-vivo-hoy-sigue-el-foro-empresarial-en-directo-desde-paracas-agenda-del-dia-pedro-castillo-economia-peru-lbposting-noticia/)
20:28:21	54712/54712	---M--	200	added ('OK')	image/jpeg	etag:%223ae9724049d1b5be20e38ddb8434d05f08de2107%22	https://elcomercio.pe/resizer/TDgvRJWDgnNfdr8jOdBBdmfQfXo=/787x442/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/B4HHAS5DLFFA7BESP2F5ECKNEU.jpg	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/resizer/TDgvRJWDgnNfdr8jOdBBdmfQfXo=/787x442/smart/filters_format(jpeg)_quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/B4HHAS5DLFFA7BESP2F5ECKNEU.jpg	(from https://elcomercio.pe/deporte-total/futbol-peruano/alianza-lima-vs-melgar-en-vivo-en-arequipa-por-final-ida-liga-1-2022-via-golperu-goltv-star-plus-y-movistar-play-cuando-juegan-hora-canales-de-transmision-apuestas-alineaciones-y-donde-ver-minuto-a-minuto-resultado-futbol-libre-tv-video-rmmd-dtbn-lbposting-noticia/)
20:28:22	207811/207811	---M-Z	200	added ('OK')	text/html	etag:W/%22319b8-WReVvEfFF+j8e72YaSTGbvn265Q%22	https://elcomercio.pe/noticias/cade/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/noticias/cade/index.html	(from https://elcomercio.pe/economia/cade-ejecutivos-2022-en-vivo-hoy-sigue-el-foro-empresarial-en-directo-desde-paracas-agenda-del-dia-pedro-castillo-economia-peru-lbposting-noticia/)
20:28:22	160265/160265	---MCZ	200	added ('OK')	text/html	etag:W/%2225ffd-ngReHf4gZe3+sX6X/M9v5LGlOMY%22	https://elcomercio.pe/economia/peru/cade-ejecutivos-presidente-pedro-castillo-ha-sido-invitado-pero-no-confirma-su-asistencia-para-el-clausura-del-evento-en-paracas-rmmn-noticia/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/economia/peru/cade-ejecutivos-presidente-pedro-castillo-ha-sido-invitado-pero-no-confirma-su-asistencia-para-el-clausura-del-evento-en-paracas-rmmn-noticia/index.html	(from https://elcomercio.pe/economia/cade-ejecutivos-2022-en-vivo-hoy-sigue-el-foro-empresarial-en-directo-desde-paracas-agenda-del-dia-pedro-castillo-economia-peru-lbposting-noticia/)
20:28:22	162264/162264	---MCZ	200	added ('OK')	text/html	etag:W/%22267cd-fHIu9KGKWAnZWyOFX5fjwTRf2TU%22	https://elcomercio.pe/economia/cade-2022-drago-kisic-esta-crisis-es-grave-pero-no-es-una-que-nos-vaya-a-quebrar-como-pais-noticia/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/economia/cade-2022-drago-kisic-esta-crisis-es-grave-pero-no-es-una-que-nos-vaya-a-quebrar-como-pais-noticia/index.html	(from https://elcomercio.pe/economia/cade-ejecutivos-2022-en-vivo-hoy-sigue-el-foro-empresarial-en-directo-desde-paracas-agenda-del-dia-pedro-castillo-economia-peru-lbposting-noticia/)
20:28:22	76252/76252	---M-Z	200	added ('OK')	text/html	etag:W/%22117d1-Ubp+rVI9WSmgTgaGWiCIllmGW1s%22	https://elcomercio.pe/noticias/cade-ejecutivos-2022/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/noticias/cade-ejecutivos-2022/index.html	(from https://elcomercio.pe/economia/cade-ejecutivos-2022-en-vivo-hoy-sigue-el-foro-empresarial-en-directo-desde-paracas-agenda-del-dia-pedro-castillo-economia-peru-lbposting-noticia/)
20:28:22	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2001:28:22%20GMT	https://elcomercio.pe/autor/diegozanatta	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/autor/diegozanatta	(from https://elcomercio.pe/deporte-total/futbol-peruano/alianza-lima-vs-melgar-en-vivo-en-arequipa-por-final-ida-liga-1-2022-via-golperu-goltv-star-plus-y-movistar-play-cuando-juegan-hora-canales-de-transmision-apuestas-alineaciones-y-donde-ver-minuto-a-minuto-resultado-futbol-libre-tv-video-rmmd-dtbn-lbposting-noticia/)
